,rank,city,country,pop,date,url,mayor,lat,long,party,mayorname,ctry,yr,party_eu,rile,gender
11,11,Munich,Germany,1487708,31-Dec-21,https://en.wikipedia.org/wiki/Munich,Dieter Reiter[1] (SPD),48°08′15″N,11°34′30″E,SPD,Dieter Reiter ,DE,2021,S&D,-24.673,M
12,12,Milan,Italy,1371498,1-Jan-22,https://en.wikipedia.org/wiki/Milan,Giuseppe Sala (EV),45°28′01″N,09°11′24″E,EV,Giuseppe Sala ,IT,2022,Greens/EFA,NA,M
13,13,Sofia,Bulgaria,1307439,31-Dec-21,https://en.wikipedia.org/wiki/Sofia,Yordanka Fandakova (GERB),42°42′N,23°20′E,GERB,Yordanka Fandakova ,BG,2021,EPP,7.726,F
14,14,Prague,Czech Republic,1275406,1-Jan-22,https://en.wikipedia.org/wiki/Prague,Bohuslav Svoboda (ODS),50°05′15″N,14°25′17″E,ODS,Bohuslav Svoboda ,CZ,2022,ECR,-21.083,M
15,15,Cologne,Germany,1073096,31-Dec-21,https://en.wikipedia.org/wiki/Cologne,Henriette Reker[1] (Ind.),50°56′11″N,6°57′10″E,Ind.,Henriette Reker ,DE,2021,NI,NA,F
16,16,Stockholm,Sweden,978770,31-Dec-21,https://en.wikipedia.org/wiki/Stockholm,Karin Wanngård (S/SAP),59°19′46″N,18°4′7″E,S/SAP,Karin Wanngård ,SE,2021,S&D,-20,F
17,17,Amsterdam,Netherlands,921402,31-Dec-22,https://en.wikipedia.org/wiki/Amsterdam,Femke Halsema (GL),52°22′22″N,04°53′37″E,GL,Femke Halsema ,NL,2022,Greens/EFA,-9.444,F
18,18,Naples,Italy,914758,1-Jan-22,https://en.wikipedia.org/wiki/Naples,Gaetano Manfredi (Independent),40°50′N,14°15′E,Independent,Gaetano Manfredi ,IT,2022,NI,NA,M
19,19,Marseille,France,870731,1-Jan-19,https://en.wikipedia.org/wiki/Marseille,Benoît Payan[1] (PS),43°17′47″N,5°22′12″E,PS,Benoît Payan ,FR,2019,S&D,-28.947,M
20,20,Turin,Italy,848885,1-Jan-22,https://en.wikipedia.org/wiki/Turin,Stefano Lo Russo (PD),45°04′45″N,07°40′34″E,PD,Stefano Lo Russo ,IT,2022,S&D,-8.275,M
21,21,Kraków,Poland,802583,31-Dec-21,https://en.wikipedia.org/wiki/Krak%C3%B3w,Jacek Majchrowski (I),50°03′41″N,19°56′14″E,I,Jacek Majchrowski ,PL,2021,NI,NA,M
22,22,Valencia,Spain,789744,1-Jan-21,https://en.wikipedia.org/wiki/Valencia,Joan Ribó (since 2015) (Compromís),39°28′12″N,00°22′35″W,"since 2015,Compromís",Joan Ribó ,ES,2021,Greens/EFA,NA,M
23,23,Zagreb,Croatia,769944,31-Aug-21,https://en.wikipedia.org/wiki/Zagreb,Tomislav Tomašević (Možemo!),45°49′N,15°59′E,Možemo!,Tomislav Tomašević ,HR,2021,Greens/EFA,NA,M
24,24,Frankfurt am Main,Germany,759224,31-Dec-21,https://en.wikipedia.org/wiki/Frankfurt,Mike Josef,50°06′38″N,08°40′56″E,SPD,Mike Josef,DE,2021,S&D,-24.673,M
25,25,Seville,Spain,684234,1-Jan-21,https://en.wikipedia.org/wiki/Seville,Antonio Muñoz (PSOE),37°14′N,5°59′W,PSOE,Antonio Muñoz ,ES,2021,S&D,-28.654,M
26,26,Zaragoza,Spain,675301,1-Jan-21,https://en.wikipedia.org/wiki/Zaragoza,Jorge Azcón (People's Party),41°39′N,0°53′W,People's Party,Jorge Azcón ,ES,2021,EPP,6.063,M
27,27,Wrocław,Poland,674312,31-Dec-21,https://en.wikipedia.org/wiki/Wroc%C5%82aw,"Jacek Sutryk (non-partisan, but Civic Coalition)",51°06′36″N,17°01′57″E,"non-partisan, but Civic Coalition",Jacek Sutryk ,PL,2021,NI,NA,M
28,28,Łódź,Poland,664860,31-Dec-21,https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA,Hanna Zdanowska (PO),51°46′37″N,19°27′17″E,PO,Hanna Zdanowska ,PL,2021,EPP,-17.282,F
